Features,Training Accuracy,Test Accuracy,Perplexity,Crossvalidation
1,0.64,0.62,1.95232,0.64062
2,0.64,0.64,1.94595,0.64062
3,0.83,0.83,1.47594,0.81875
4,0.83,0.83,1.47763,0.82812
5,0.82,0.82,1.48079,0.83438
6,0.83,0.83,1.48417,0.82812
7,0.82,0.83,1.51378,0.80625
8,0.83,0.86,1.4598,0.83438
9,0.83,0.85,1.45898,0.82812
10,0.84,0.86,1.45767,0.83125
11,0.84,0.86,1.45537,0.81875
12,0.83,0.83,1.46146,0.82188
13,0.84,0.83,1.4777,0.83125
14,0.84,0.84,1.47874,0.83438
15,0.84,0.84,1.47467,0.83125
16,0.84,0.84,1.48158,0.82812
17,0.84,0.84,1.47703,0.83438
18,0.84,0.84,1.47745,0.82812
